"input","output"
"幾天","幾天"
"百分之百","百分之百_A"
"百分之百","百分之百_B"
"好多","好多"
"推鉛球","推鉛球"
"算盤","算盤"
"會","會_N"
"會","會_S"
"原住民","原住民_A"
"以上","以上"
"豐富","豐富"
"附件","附件"
"伴","伴"
"成","成"
"積怨","積怨_A"
"積怨","積怨_B"
"積怨","積怨_C"
"跨越","跨越"
"行動","行動"
"增加","增加"
"加油","加(汽)油"
"上癮","上癮_A"
"上癮","上癮_B"
"地址","地址_A"
"地址","地址_B"
"地址","地址_C"
"地址","地址_D"
"調配","調配"
"冒險","冒險_A"
"冒險","冒險_B"
"冒險","冒險_C"
"冒險","冒險_D"
"事情","事情"
"影響","影響"
"慈愛","慈愛"
"蓋章","蓋章"
"危險","危險"
"怕","怕_S"
"非","非_A"
"非","非_B"
"到底","到底"
"下午","下午_B"
"下午","下午_A"
"再","再_A"
"再","再_B"
"同意","同意_B"
"同意","同意_A"
"耕田","耕田"
"空軍","空軍"
"飛機","飛機"
"機場","機場"
"阿里山","阿里山"
"完全","完全"
"從早到晚","從早到晚_A"
"從早到晚","從早到晚_B"
"光了","光了_A"
"光了","光了_B"
"差不多","差不多"
"快好了","快好了"
"光棍","光棍_A"
"過了","過了_B"
"已經","已經_B"
"也","也"
"總是","總是"
"救護車","救護車"
"兒童樂園","兒童樂園"
"以牙還牙","以牙還牙"
"祖先","祖先"
"古","古"
"和","和"
"而且","而且"
"角","角"
"火大","火大_A"
"火大","火大_B"
"動物","動物"
"兼併","兼併"
"宣佈","宣佈"
"回答","回答"
"螞蟻","螞蟻_A"
"螞蟻","螞蟻_B"
"反","反"
"大廈","大廈_A"
"大廈","大廈_B"
"中風","中風"
"上告","上告"
"鼓掌","鼓掌"
"約","約_B"
"學徒","學徒_A"
"學徒","學徒_B"
"大約","大約"
"檳榔","檳榔"
"環島","環島"
"安排","安排"
"佈置","佈置"
"到","到"
"遲到","遲到_A"
"目中無人","目中無人_B"
"目中無人","目中無人_C"
"人工電子耳","人工電子耳"
"不要臉","不要臉_A"
"亞","亞"
"亞洲","亞洲"
"問","問"
"互問","互問"
"分配","分配"
"刮目相看","刮目相看"
"在","在"
"攻擊","攻擊"
"企圖","企圖"
"勾引","勾引"
"典禮","典禮"
"澳洲","澳洲_A"
"澳洲","澳洲_B"
"澳洲","澳洲_C"
"見錢眼開","見錢眼開_B"
"見錢眼開","見錢眼開_A"
"見錢眼開","見錢眼開_C"
"見錢眼開","見錢眼開_D"
"獎狀","獎狀"
"青","青"
"把","把"
"嬰兒","嬰兒"
"光棍","光棍_B"
"單身女","單身女"
"後面","後面"
"壞","壞"
"壞習慣","壞習慣_A"
"壞習慣","壞習慣_B"
"不好看","不好看"
"倒楣","倒楣_A"
"倒楣","倒楣_B"
"運氣差","運氣差_A"
