"往西邊走會到公園","西/那/走/那/公園/那"
"今天日期是三月八日","今天/日期/三月八日"
"去國外旅遊時要注意安全","國外/去/旅遊/玩/安全/注意"
"我的老師是台中人","我/老師_S/台中/人_A"
"台灣護士的專業能力很強","台灣/護士/專/業/強/技術/棒_B"
"他拿了我的小提琴","我_B/小提琴/他_A/拿"
"直走到底右轉就到銀行","直/走/直/到底/右轉/這/銀行/地方"
"這道菜看起來很奇怪","這/菜_N/盤子/這/奇怪_N"
"剛剛弟弟跨越了平交道","剛剛/平交道/弟弟/剛剛/跨越/走"
"妹妹搶了弟弟玩具","弟弟/玩/他們倆/妹妹/搶_A"
"這家餐廳生意很好","這/餐廳_B/人_A/湧入/棒_A"
"我需要做比賽前的準備","比賽/我_B/準備/要_S"
"他解決了這道數學問題","這/數學/問題/他/解決/行"
"新年前記得先訂火車票","新年/前/火車/票/首先//訂/記得"
"他計畫明年去滑雪","他_A/計畫_B/明年//去_B/雪_B/滑雪"
"請再說一次","請/再_A/說/請/再_A/說/再_A/一"
"警察是人民保母","社會_N/他們/警察/保護/是"
"弟弟去郵局寄信","弟弟/寄信_N/這/去_B/這/郵局_A"
"他的中文進步很多","他_A/中文/進步"
"老舊建築必須保留原狀","大樓_B/舊/古/保護/依然_B/一樣"
